Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pdret_tmv,Pdret_mc
0,A,5,2,2015-01-28,69,-0.0127,-0.0066
0,A,1,3,2015-01-28,119,-0.0037,-0.0035
0,A,2,3,2015-01-28,107,-0.0068,-0.0034
0,A,3,3,2015-01-28,96,-0.0007,-0.0028
0,A,4,3,2015-01-28,78,-0.0054,-0.0097
0,A,5,3,2015-01-28,70,-0.0108,-0.0104
0,A,1,4,2015-01-28,113,-0.0022,-0.0026
0,A,2,4,2015-01-28,104,-0.0007,-0.0041
0,A,3,4,2015-01-28,100,-0.0043,-0.0047
0,A,4,4,2015-01-28,92,-0.0003,-0.0064
0,A,5,4,2015-01-28,60,-0.0170,-0.0150
0,A,1,5,2015-01-28,65,-0.0001,-0.0070
0,A,2,5,2015-01-28,97,-0.0050,-0.0074
0,A,3,5,2015-01-28,92,-0.0016,-0.0048
0,A,4,5,2015-01-28,91,-0.0072,-0.0018
0,A,5,5,2015-01-28,125,-0.0196,-0.0196
0,A,1,1,2015-01-29,84,0.0017,0.0009
0,A,2,1,2015-01-29,53,0.0003,-0.0066
0,A,3,1,2015-01-29,75,-0.0070,-0.0060
0,A,4,1,2015-01-29,111,-0.0084,-0.0084
0,A,5,1,2015-01-29,146,-0.0085,-0.0083
0,A,1,2,2015-01-29,88,-0.0028,-0.0051
0,A,2,2,2015-01-29,108,-0.0062,0.0007
0,A,3,2,2015-01-29,107,-0.0065,-0.0046
0,A,4,2,2015-01-29,97,-0.0057,-0.0072
0,A,5,2,2015-01-29,69,-0.0085,-0.0106
0,A,1,3,2015-01-29,119,-0.0059,-0.0079
0,A,2,3,2015-01-29,107,-0.0041,-0.0053
0,A,3,3,2015-01-29,96,-0.0058,-0.0101
0,A,4,3,2015-01-29,78,-0.0005,-0.0063
0,A,5,3,2015-01-29,70,-0.0136,-0.0091
0,A,1,4,2015-01-29,113,-0.0051,-0.0008
0,A,2,4,2015-01-29,104,-0.0063,-0.0017
0,A,3,4,2015-01-29,100,-0.0095,-0.0057
0,A,4,4,2015-01-29,92,-0.0064,-0.0048
0,A,5,4,2015-01-29,60,-0.0036,-0.0139
0,A,1,5,2015-01-29,65,-0.0050,-0.0022
0,A,2,5,2015-01-29,97,-0.0044,-0.0057
0,A,3,5,2015-01-29,92,-0.0091,-0.0088
0,A,4,5,2015-01-29,91,-0.0076,-0.0057
0,A,5,5,2015-01-29,125,-0.0098,-0.0081
0,A,1,1,2015-01-30,84,-0.0097,-0.0140
0,A,2,1,2015-01-30,53,-0.0155,-0.0097
0,A,3,1,2015-01-30,75,-0.0151,-0.0164
0,A,4,1,2015-01-30,111,-0.0139,-0.0147
0,A,5,1,2015-01-30,146,-0.0140,-0.0117
0,A,1,2,2015-01-30,88,-0.0157,-0.0196
0,A,2,2,2015-01-30,108,-0.0152,-0.0116
0,A,3,2,2015-01-30,107,-0.0099,-0.0169
0,A,4,2,2015-01-30,97,-0.0190,-0.0119
0,A,5,2,2015-01-30,69,-0.0056,-0.0097
0,A,1,3,2015-01-30,119,-0.0114,-0.0120
0,A,2,3,2015-01-30,107,-0.0105,-0.0102
0,A,3,3,2015-01-30,96,-0.0102,-0.0102
0,A,4,3,2015-01-30,78,-0.0070,-0.0111
